date,Temperature
January,3.333333333
January,2.222222222
January,4.444444444
January,-3.888888889
January,-6.666666667
January,0.555555556
January,3.611111111
January,3.611111111
January,6.388888889
January,9.722222222
January,0.555555556
January,1.388888889
January,-3.333333333
January,-1.111111111
January,5.833333333
January,8.333333333
January,2.222222222
January,-4.166666667
January,-5.555555556
January,0
January,-0.555555556
January,-3.611111111
January,-3.611111111
January,-2.5
January,0.833333333
January,6.111111111
January,4.722222222
January,2.777777778
January,1.944444444
January,0.833333333
January,7.777777778
February,10.83333333
February,6.666666667
February,10.27777778
February,10.83333333
February,3.055555556
February,1.666666667
February,4.444444444
February,0.833333333
February,-0.277777778
February,1.666666667
February,-4.166666667
February,-6.111111111
February,-10
February,-13.88888889
February,-4.444444444
February,6.944444444
February,2.777777778
February,-0.277777778
February,-0.277777778
February,10
February,9.722222222
February,7.222222222
February,3.055555556
February,8.888888889
February,9.444444444
February,0.555555556
February,0.833333333
February,9.444444444
February,12.22222222
March,7.5
March,5.555555556
March,-0.555555556
March,1.388888889
March,1.388888889
March,3.333333333
March,8.888888889
March,13.88888889
March,15.83333333
March,21.66666667
March,14.44444444
March,9.722222222
March,13.33333333
March,7.5
March,10.27777778
March,13.61111111
March,12.22222222
March,9.722222222
March,5
March,3.055555556
March,5
March,7.5
March,15.27777778
March,9.722222222
March,14.44444444
March,8.055555556
March,9.444444444
March,11.11111111
March,8.055555556
March,8.055555556
March,16.11111111
April,21.11111111
April,12.77777778
April,5.555555556
April,2.777777778
April,1.388888889
April,3.888888889
April,11.66666667
April,7.222222222
April,4.166666667
April,4.722222222
April,12.22222222
April,11.11111111
April,9.444444444
April,11.38888889
April,11.94444444
April,13.05555556
April,15.27777778
April,19.16666667
April,17.77777778
April,15
April,16.11111111
April,21.38888889
April,16.94444444
April,14.16666667
April,15.27777778
April,11.94444444
April,12.22222222
April,11.94444444
April,10.83333333
April,13.05555556
May,8.888888889
May,11.38888889
May,11.94444444
May,10
May,10.83333333
May,10.55555556
May,12.22222222
May,14.16666667
May,16.66666667
May,13.61111111
May,17.22222222
May,20
May,16.11111111
May,18.05555556
May,11.38888889
May,12.5
May,14.44444444
May,15.55555556
May,17.5
May,18.05555556
May,15.55555556
May,16.11111111
May,19.44444444
May,18.61111111
May,23.61111111
May,26.38888889
May,26.66666667
May,27.5
May,25.83333333
May,23.88888889
May,25.55555556
June,23.61111111
June,21.11111111
June,19.16666667
June,23.61111111
June,20
June,23.33333333
June,23.61111111
June,15.27777778
June,16.94444444
June,19.44444444
June,23.05555556
June,22.5
June,18.61111111
June,20.27777778
June,23.05555556
June,20.83333333
June,21.38888889
June,23.33333333
June,25
June,23.33333333
June,26.38888889
June,25
June,24.44444444
June,24.16666667
June,23.88888889
June,25
June,23.88888889
June,22.22222222
June,23.88888889
June,24.44444444
July,22.5
July,20.83333333
July,21.66666667
July,23.88888889
July,25.27777778
July,28.33333333
July,28.33333333
July,24.72222222
July,20.27777778
July,22.77777778
July,22.77777778
July,23.88888889
July,25.55555556
July,26.94444444
July,28.61111111
July,28.05555556
July,27.77777778
July,28.05555556
July,25.55555556
July,24.72222222
July,26.94444444
July,28.88888889
July,31.11111111
July,29.16666667
July,28.33333333
July,26.94444444
July,28.05555556
July,29.44444444
July,25
July,25.83333333
July,23.61111111
August,23.61111111
August,23.05555556
August,22.77777778
August,23.33333333
August,24.44444444
August,26.38888889
August,25.55555556
August,25.83333333
August,26.11111111
August,26.94444444
August,28.05555556
August,28.33333333
August,31.38888889
August,30
August,29.16666667
August,28.05555556
August,27.22222222
August,25.83333333
August,27.22222222
August,24.72222222
August,26.38888889
August,22.22222222
August,21.94444444
August,25.55555556
August,25.27777778
August,28.05555556
August,27.22222222
August,26.94444444
August,28.05555556
August,25.27777778
August,27.5
September,23.33333333
September,23.05555556
September,21.38888889
September,22.5
September,23.61111111
September,24.16666667
September,25.55555556
September,26.66666667
September,28.33333333
September,27.77777778
September,23.88888889
September,21.11111111
September,23.05555556
September,26.11111111
September,19.72222222
September,19.44444444
September,20
September,24.44444444
September,22.5
September,23.88888889
September,24.44444444
September,24.16666667
September,24.16666667
September,18.05555556
September,16.66666667
September,17.77777778
September,20.55555556
September,16.94444444
September,15.83333333
September,14.16666667
October,15
October,15.55555556
October,18.88888889
October,18.05555556
October,15.55555556
October,17.77777778
October,18.88888889
October,17.22222222
October,14.44444444
October,13.05555556
October,12.5
October,15.27777778
October,15.55555556
October,12.5
October,12.77777778
October,16.11111111
October,22.22222222
October,23.33333333
October,23.88888889
October,18.88888889
October,17.22222222
October,11.11111111
October,11.66666667
October,12.5
October,8.611111111
October,6.944444444
October,8.611111111
October,8.055555556
