Year,Attribute,Value
1850,Solid fuel,54
1850,Liquid fuel,0
1850,Gas fuel,0
1850,Cement production,0
1850,Gas flaring,0
1851,Solid fuel,54
1851,Liquid fuel,0
1851,Gas fuel,0
1851,Cement production,0
1851,Gas flaring,0
1852,Solid fuel,57
1852,Liquid fuel,0
1852,Gas fuel,0
1852,Cement production,0
1852,Gas flaring,0
1853,Solid fuel,59
1853,Liquid fuel,0
1853,Gas fuel,0
1853,Cement production,0
1853,Gas flaring,0
1854,Solid fuel,69
1854,Liquid fuel,0
1854,Gas fuel,0
1854,Cement production,0
1854,Gas flaring,0
1855,Solid fuel,71
1855,Liquid fuel,0
1855,Gas fuel,0
1855,Cement production,0
1855,Gas flaring,0
1856,Solid fuel,76
1856,Liquid fuel,0
1856,Gas fuel,0
1856,Cement production,0
1856,Gas flaring,0
1857,Solid fuel,77
1857,Liquid fuel,0
1857,Gas fuel,0
1857,Cement production,0
1857,Gas flaring,0
1858,Solid fuel,78
1858,Liquid fuel,0
1858,Gas fuel,0
1858,Cement production,0
1858,Gas flaring,0
1859,Solid fuel,83
1859,Liquid fuel,0
1859,Gas fuel,0
1859,Cement production,0
1859,Gas flaring,0
1860,Solid fuel,91
1860,Liquid fuel,0
1860,Gas fuel,0
1860,Cement production,0
1860,Gas flaring,0
1861,Solid fuel,95
1861,Liquid fuel,0
1861,Gas fuel,0
1861,Cement production,0
1861,Gas flaring,0
1862,Solid fuel,96
1862,Liquid fuel,0
1862,Gas fuel,0
1862,Cement production,0
1862,Gas flaring,0
1863,Solid fuel,103
1863,Liquid fuel,0
1863,Gas fuel,0
1863,Cement production,0
1863,Gas flaring,0
1864,Solid fuel,112
1864,Liquid fuel,0
1864,Gas fuel,0
1864,Cement production,0
1864,Gas flaring,0
1865,Solid fuel,119
1865,Liquid fuel,0
1865,Gas fuel,0
1865,Cement production,0
1865,Gas flaring,0
1866,Solid fuel,122
1866,Liquid fuel,0
1866,Gas fuel,0
1866,Cement production,0
1866,Gas flaring,0
1867,Solid fuel,130
1867,Liquid fuel,0
1867,Gas fuel,0
1867,Cement production,0
1867,Gas flaring,0
1868,Solid fuel,134
1868,Liquid fuel,0
1868,Gas fuel,0
1868,Cement production,0
1868,Gas flaring,0
1869,Solid fuel,142
1869,Liquid fuel,0
1869,Gas fuel,0
1869,Cement production,0
1869,Gas flaring,0
1870,Solid fuel,146
1870,Liquid fuel,1
1870,Gas fuel,0
1870,Cement production,0
1870,Gas flaring,0
1871,Solid fuel,156
1871,Liquid fuel,1
1871,Gas fuel,0
1871,Cement production,0
1871,Gas flaring,0
1872,Solid fuel,173
1872,Liquid fuel,1
1872,Gas fuel,0
1872,Cement production,0
1872,Gas flaring,0
1873,Solid fuel,183
1873,Liquid fuel,1
1873,Gas fuel,0
1873,Cement production,0
1873,Gas flaring,0
1874,Solid fuel,173
1874,Liquid fuel,1
1874,Gas fuel,0
1874,Cement production,0
1874,Gas flaring,0
1875,Solid fuel,187
1875,Liquid fuel,1
1875,Gas fuel,0
1875,Cement production,0
1875,Gas flaring,0
1876,Solid fuel,190
1876,Liquid fuel,1
1876,Gas fuel,0
1876,Cement production,0
1876,Gas flaring,0
1877,Solid fuel,192
1877,Liquid fuel,2
1877,Gas fuel,0
1877,Cement production,0
1877,Gas flaring,0
1878,Solid fuel,194
1878,Liquid fuel,2
1878,Gas fuel,0
1878,Cement production,0
1878,Gas flaring,0
1879,Solid fuel,207
1879,Liquid fuel,3
1879,Gas fuel,0
1879,Cement production,0
1879,Gas flaring,0
1880,Solid fuel,233
1880,Liquid fuel,3
1880,Gas fuel,0
1880,Cement production,0
1880,Gas flaring,0
1881,Solid fuel,239
1881,Liquid fuel,4
1881,Gas fuel,0
1881,Cement production,0
1881,Gas flaring,0
1882,Solid fuel,252
1882,Liquid fuel,4
1882,Gas fuel,0
1882,Cement production,0
1882,Gas flaring,0
1883,Solid fuel,269
1883,Liquid fuel,3
1883,Gas fuel,0
1883,Cement production,0
1883,Gas flaring,0
1884,Solid fuel,271
1884,Liquid fuel,4
1884,Gas fuel,0
1884,Cement production,0
1884,Gas flaring,0
1885,Solid fuel,273
1885,Liquid fuel,4
1885,Gas fuel,1
1885,Cement production,0
1885,Gas flaring,0
1886,Solid fuel,275
1886,Liquid fuel,5
1886,Gas fuel,2
1886,Cement production,0
1886,Gas flaring,0
1887,Solid fuel,287
1887,Liquid fuel,5
1887,Gas fuel,3
1887,Cement production,0
1887,Gas flaring,0
1888,Solid fuel,317
1888,Liquid fuel,5
1888,Gas fuel,5
1888,Cement production,0
1888,Gas flaring,0
1889,Solid fuel,318
1889,Liquid fuel,6
1889,Gas fuel,3
1889,Cement production,0
1889,Gas flaring,0
1890,Solid fuel,345
1890,Liquid fuel,8
1890,Gas fuel,3
1890,Cement production,0
1890,Gas flaring,0
1891,Solid fuel,360
1891,Liquid fuel,9
1891,Gas fuel,2
1891,Cement production,0
1891,Gas flaring,0
1892,Solid fuel,363
1892,Liquid fuel,9
1892,Gas fuel,2
1892,Cement production,0
1892,Gas flaring,0
1893,Solid fuel,358
1893,Liquid fuel,10
1893,Gas fuel,2
1893,Cement production,0
1893,Gas flaring,0
1894,Solid fuel,372
1894,Liquid fuel,9
1894,Gas fuel,2
