Date,Open,High,Low,Close
11/17/2017,171.039993,171.389999,169.639999,170.149994
11/20/2017,170.289993,170.559998,169.559998,169.979996
11/21/2017,170.779999,173.699997,170.779999,173.139999
11/22/2017,173.360001,175,173.050003,174.960007
11/24/2017,175.100006,175.5,174.649994,174.970001
11/27/2017,175.050003,175.080002,173.339996,174.089996
11/28/2017,174.300003,174.869995,171.860001,173.070007
11/29/2017,172.630005,172.919998,167.160004,169.479996
11/30/2017,170.429993,172.139999,168.440002,171.850006
12/1/2017,169.949997,171.669998,168.5,171.050003
12/4/2017,172.479996,172.619995,169.630005,169.800003
12/5/2017,169.059998,171.520004,168.399994,169.639999
12/6/2017,167.5,170.199997,166.460007,169.009995
12/7/2017,169.029999,170.440002,168.910004,169.320007
12/8/2017,170.490005,171,168.820007,169.369995
12/11/2017,169.199997,172.889999,168.789993,172.669998
12/12/2017,172.149994,172.389999,171.460007,171.699997
12/13/2017,172.5,173.539993,172,172.270004
12/14/2017,172.399994,173.130005,171.649994,172.220001
12/15/2017,173.630005,174.169998,172.460007,173.970001
12/18/2017,174.880005,177.199997,174.860001,176.419998
12/19/2017,175.029999,175.389999,174.089996,174.539993
12/20/2017,174.869995,175.419998,173.25,174.350006
12/21/2017,174.169998,176.020004,174.100006,175.009995
12/22/2017,174.679993,175.419998,174.5,175.009995
12/26/2017,170.800003,171.470001,169.679993,170.570007
12/27/2017,170.100006,170.779999,169.710007,170.600006
12/28/2017,171,171.850006,170.479996,171.080002
12/29/2017,170.520004,170.589996,169.220001,169.229996
1/2/2018,170.160004,172.300003,169.259995,172.259995
1/3/2018,172.529999,174.550003,171.960007,172.229996
1/4/2018,172.539993,173.470001,172.080002,173.029999
1/5/2018,173.440002,175.369995,173.050003,175
1/8/2018,174.350006,175.610001,173.929993,174.350006
1/9/2018,174.550003,175.059998,173.410004,174.330002
1/10/2018,173.160004,174.300003,173,174.289993
1/11/2018,174.589996,175.490005,174.490005,175.279999
1/12/2018,176.179993,177.360001,175.649994,177.089996
1/16/2018,177.899994,179.389999,176.139999,176.190002
1/17/2018,176.149994,179.25,175.070007,179.100006
1/18/2018,179.369995,180.100006,178.25,179.259995
1/19/2018,178.610001,179.580002,177.410004,178.460007
1/22/2018,177.300003,177.779999,176.600006,177
1/23/2018,177.300003,179.440002,176.820007,177.039993
1/24/2018,177.25,177.300003,173.199997,174.220001
1/25/2018,174.509995,174.949997,170.529999,171.110001
1/26/2018,172,172,170.059998,171.509995
1/29/2018,170.160004,170.160004,167.070007,167.960007
1/30/2018,165.529999,167.369995,164.699997,166.970001
1/31/2018,166.869995,168.440002,166.5,167.429993
2/1/2018,167.169998,168.619995,166.759995,167.779999
2/2/2018,166,166.800003,160.100006,160.5
2/5/2018,159.100006,163.880005,156,156.490005
2/6/2018,154.830002,163.720001,154,163.029999
2/7/2018,163.089996,163.399994,159.070007,159.539993
2/8/2018,160.289993,161,155.029999,155.149994
2/9/2018,157.070007,157.889999,150.240005,156.410004
2/12/2018,158.5,163.889999,157.509995,162.710007
2/13/2018,161.949997,164.75,161.649994,164.339996
2/14/2018,163.039993,167.539993,162.880005,167.369995
2/15/2018,169.789993,173.089996,169,172.990005
2/16/2018,172.360001,174.820007,171.770004,172.429993
2/20/2018,172.050003,174.259995,171.419998,171.850006
2/21/2018,172.830002,174.119995,171.009995,171.070007
2/22/2018,171.800003,173.949997,171.710007,172.5
2/23/2018,173.669998,175.649994,173.539993,175.5
2/26/2018,176.350006,179.389999,176.210007,178.970001
2/27/2018,179.100006,180.479996,178.160004,178.389999
2/28/2018,179.259995,180.619995,178.050003,178.119995
3/1/2018,178.539993,179.779999,172.660004,175
3/2/2018,172.800003,176.300003,172.449997,176.210007
3/5/2018,175.210007,177.740005,174.520004,176.820007
3/6/2018,177.910004,178.25,176.130005,176.669998
