age,gender,sum_people,sum_people_start,sum_people_end
0,"""Male""",9735380,0.48885162490534806,1
0,"""Female""",9310714,0,0.48885162490534806
5,"""Male""",10552146,0.48829917596552375,1
5,"""Female""",10069564,0,0.48829917596552375
10,"""Male""",10563233,0.48686691482853894,0.9999999999999999
10,"""Female""",10022524,0,0.48686691482853894
15,"""Male""",10237419,0.48633347730326126,1
15,"""Female""",9692669,0,0.48633347730326126
20,"""Male""",9731315,0.48931883866539944,1
20,"""Female""",9324244,0,0.48931883866539944
25,"""Male""",9659493,0.4963242778183335,0.9999999999999999
25,"""Female""",9518507,0,0.4963242778183335
30,"""Male""",10205879,0.4978700552393768,1
30,"""Female""",10119296,0,0.4978700552393768
35,"""Male""",11475182,0.5034716409350786,1
35,"""Female""",11635647,0,0.5034716409350786
40,"""Male""",11320252,0.5036899306102066,1
40,"""Female""",11488578,0,0.5036899306102066
45,"""Male""",9925006,0.5083286110616138,1
45,"""Female""",10261253,0,0.5083286110616138
50,"""Male""",8507934,0.5115734958709327,1
50,"""Female""",8911133,0,0.5115734958709327
55,"""Male""",6459082,0.5172710728792596,1
55,"""Female""",6921268,0,0.5172710728792596
60,"""Male""",5123399,0.5252753799910307,1
60,"""Female""",5668961,0,0.5252753799910307
65,"""Male""",4453623,0.5189644395628751,1
65,"""Female""",4804784,0,0.5189644395628751
70,"""Male""",3792145,0.57757101481564,1
70,"""Female""",5184855,0,0.57757101481564
75,"""Male""",2912655,0.5992659355373244,0.9999999999999999
75,"""Female""",4355644,0,0.5992659355373244
80,"""Male""",1902638,0.6287199465473557,1
80,"""Female""",3221898,0,0.6287199465473557
85,"""Male""",970357,0.6712340416593117,1
85,"""Female""",1981156,0,0.6712340416593117
90,"""Male""",336303,0.7599351552305543,0.9999999999999999
90,"""Female""",1064581,0,0.7599351552305543
