value,sector,startAngle,endAngle,outerRadius
148.7601326743834,j,0,0.3141592653589793,249
140.4070546424441,b,0.3141592653589793,0.6283185307179586,235.0183209536015
138.346533143775,f,0.6283185307179586,0.9424777960769379,231.56934679671733
130.3408870630464,k,0.9424777960769379,1.2566370614359172,218.1692117049806
122.69087786040231,h,1.2566370614359172,1.5707963267948966,205.3643542662752
120.43497533739462,q,1.5707963267948966,1.8849555921538759,201.58834440307854
117.83385655019333,c,1.8849555921538759,2.199114857512855,197.2344992809395
107.66530454118528,g,2.199114857512855,2.5132741228718345,180.2140153332332
107.3710899814845,d,2.5132741228718345,2.827433388230814,179.7215485408981
91.19038033419736,s,2.827433388230814,3.141592653589793,152.63770134513464
88.30684559449188,p,3.141592653589793,3.4557519189487724,147.81113835894618
84.02615195874415,r,3.455751918948772,3.7699111843077513,140.64596112941058
81.52377680448916,n,3.7699111843077517,4.084070449666731,136.45739661143347
75.61324168613659,l,4.084070449666731,4.39822971502571,126.56413275093935
68.59019389911016,o,4.39822971502571,4.71238898038469,114.80870562452407
65.67729820298398,e,4.71238898038469,5.026548245743669,109.93299722539922
64.51627074862914,i,5.026548245743669,5.340707511102648,107.98962818601318
60.912980306695054,a,5.340707511102648,5.654866776461628,101.95831251082832
58.60440919332561,t,5.654866776461628,5.969026041820607,98.09414408818226
50.478226552695446,m,5.969026041820607,6.283185307179586,84.49225061618655
